"","X","subjectID","smoothness","order","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","performance_av","sequence","bonus","context","PCA","PEC","E","Novclicksp","HVclicksp","l","b","t","dlogl","dlogb","dlogt","NLL","dnov","dhv","dd","ddprev","logl","logb","logt"
"53",53,"615f338fdbb7744db42e0f7f","smooth","RS",1.70625,2.10625,251,251,227,69.40725806375,66.8881048390625,2,2.65234735024554,"smooth",1.29352445483644,-1.29352445483644,3,0.472916666666667,0.522916666666667,1.83691768320809,0.111598281965933,0.0535559194716144,0.284088705231924,0.0458469522412535,0.0580026087833876,1261.12435239927,36,-32,-0.31041666666667,-0.525,0.264089694939723,-0.952342491226919,-1.27119252013036
"54",54,"615f338fdbb7744db42e0f7f","rough","RS",2.01666666666667,2.63125,283,283,191,64.368951614375,66.8881048390625,1,2.65234735024554,"rough",1.1805522521697,-1.1805522521697,3,0.397916666666667,0.589583333333333,0.954994762343555,0.10041776626848,0.0468602791170503,0.284088705231924,0.0458469522412535,0.0580026087833876,1284.30439594603,36,-32,-0.31041666666667,-0.525,-0.0199990102922011,-0.998189443468173,-1.32919512891375
"55",55,"616657d3063dd77f0ad2b866","smooth","SR",1.92083333333333,2.30833333333333,65,65,392,64.608870966875,57.031249999375,1,2.22991071425893,"smooth",-0.371124988115317,0.371124988115317,3,0.816666666666667,0.135416666666667,10.2660129769124,0.0459346932332775,0.066188560862327,1.08755739942557,-0.910128053330909,0.00563685765795885,1740.48804977961,-64,54,-1.96041666666667,-0.39791666666667,1.01140180890174,-1.33785917963791,-1.17921706167271
"56",56,"616657d3063dd77f0ad2b866","rough","SR",3.88125,2.70625,11,11,456,49.453629031875,57.031249999375,2,2.22991071425893,"rough",-1.83844294049607,1.83844294049607,3,0.95,0.0229166666666667,0.839159295097541,0.373481310215836,0.0653350278663414,1.08755739942557,-0.910128053330909,0.00563685765795885,1700.53314418042,-64,54,-1.96041666666667,-0.39791666666667,-0.0761555905238251,-0.427731126307002,-1.18485391933067
"57",57,"617035677662e85823da8fba","smooth","RS",3.52083333333333,2.57083333333333,8,8,468,58.856854836875,53.755040321875,2,2.08950172808036,"smooth",-1.68993361239389,1.68993361239389,3,0.975,0.0166666666666667,0.675772662678737,0.479479978251228,0.0747982560321437,0.0514236180466403,0.0224239963141152,0.0332356089755181,1175.64404076978,10,2,0.0916666666666601,0.58125,-0.170199380906656,-0.31922952304296,-1.12610852786343
"58",58,"617035677662e85823da8fba","rough","RS",3.42916666666667,1.98958333333333,6,6,458,48.653225806875,53.755040321875,1,2.08950172808036,"rough",-1.31261218077877,1.31261218077877,3,0.954166666666667,0.0125,0.60031196714171,0.455351194989211,0.0692876550032956,0.0514236180466403,0.0224239963141152,0.0332356089755181,1282.28767513318,10,2,0.0916666666666601,0.58125,-0.221622998953297,-0.341653519357075,-1.15934413683895
"59",59,"62b0a3fa60084743d22ad31c","smooth","SR",1.95208333333333,2.275,219,219,261,65.350806453125,62.7308467740625,1,2.47417914745982,"smooth",0.831436718900593,-0.831436718900593,3,0.54375,0.45625,8.24648766518569,0.0408080275360834,0.0479617642902276,0.874818474707006,-0.434876940175044,0.141036293978984,1254.98049319319,68,-68,-0.5625,-0.28125,0.916269013710163,-1.38925439642734,-1.31910484960536
"60",60,"62b0a3fa60084743d22ad31c","rough","SR",2.51458333333333,2.55625,287,287,193,60.110887095,62.7308467740625,2,2.47417914745982,"rough",1.03545031637589,-1.03545031637589,3,0.402083333333333,0.597916666666667,1.10014654450163,0.11107659130562,0.0346624180980049,0.874818474707006,-0.434876940175044,0.141036293978984,1056.07708705617,68,-68,-0.5625,-0.28125,0.0414505390031569,-0.9543774562523,-1.46014114358434
"61",61,"632222532c12ab0ab7ca00bd","smooth","RS",1.54583333333333,2.1125,261,261,217,65.096774195,62.704637096875,2,2.47305587558036,"smooth",1.43647121899777,-1.43647121899777,3,0.452083333333333,0.54375,4.96333986034707,0.0801048594757562,0.0494681450677943,-0.528062929863424,-0.856176988113233,-0.0102446359230579,1300.08071710097,22,-17,-0.77291666666667,-0.62083333333333,0.695774014149542,-1.09634113710564,-1.30567437429167
"62",62,"632222532c12ab0ab7ca00bd","rough","RS",2.31875,2.73333333333333,278,278,195,60.31249999875,62.704637096875,1,2.47305587558036,"rough",0.971445669421625,-0.971445669421625,3,0.40625,0.579166666666667,16.7431413628381,0.575222481115384,0.0506489284446747,-0.528062929863424,-0.856176988113233,-0.0102446359230579,1652.42216242659,22,-17,-0.77291666666667,-0.62083333333333,1.22383694401297,-0.240164148992409,-1.29542973836861
