"","prolificID","assigned_condition","block_nr","trial_nr","grid","selected_choice","reward"
"215","5ff38032559f439a49bdac82",3,14,0,13,221,10
"216","5ff38032559f439a49bdac82",3,15,0,16,149,60
"217","5ff38032559f439a49bdac82",3,16,0,17,179,21
"218","5ff38032559f439a49bdac82",3,17,0,15,224,77
"219","5ff38032559f439a49bdac82",3,18,0,1,89,25
"220","5ff38032559f439a49bdac82",3,19,0,0,149,70
"221","6580e5dfdc7fc94823610ef5",1,0,0,8,177,25
"222","6580e5dfdc7fc94823610ef5",1,1,0,7,224,25
"223","6580e5dfdc7fc94823610ef5",1,2,0,14,89,35
"224","6580e5dfdc7fc94823610ef5",1,3,0,9,224,50
"225","6580e5dfdc7fc94823610ef5",1,4,0,13,221,25
"226","6580e5dfdc7fc94823610ef5",1,5,0,17,179,19
"227","6580e5dfdc7fc94823610ef5",1,6,0,15,224,20
"228","6580e5dfdc7fc94823610ef5",1,7,0,0,149,47
"229","6580e5dfdc7fc94823610ef5",1,8,0,1,89,25
"230","6580e5dfdc7fc94823610ef5",1,9,0,16,149,20
"231","6580e5dfdc7fc94823610ef5",1,10,0,19,89,46
"232","6580e5dfdc7fc94823610ef5",1,11,0,2,219,52
"233","6580e5dfdc7fc94823610ef5",1,12,0,3,73,20
"234","6580e5dfdc7fc94823610ef5",1,13,0,4,120,47
"235","6580e5dfdc7fc94823610ef5",1,14,0,18,221,20
"236","6580e5dfdc7fc94823610ef5",1,15,0,11,149,32
"237","6580e5dfdc7fc94823610ef5",1,16,0,6,179,18
"238","6580e5dfdc7fc94823610ef5",1,17,0,10,224,25
"239","6580e5dfdc7fc94823610ef5",1,18,0,5,218,20
"240","6580e5dfdc7fc94823610ef5",1,19,0,12,179,18
"241","65eb81eb6d0f01e143c7463a",1,0,0,0,149,45
"242","65eb81eb6d0f01e143c7463a",1,1,0,15,224,51
"243","65eb81eb6d0f01e143c7463a",1,2,0,17,179,9
"244","65eb81eb6d0f01e143c7463a",1,3,0,16,149,40
"245","65eb81eb6d0f01e143c7463a",1,4,0,1,89,30
"246","65eb81eb6d0f01e143c7463a",1,5,0,8,177,10
"247","65eb81eb6d0f01e143c7463a",1,6,0,14,89,35
"248","65eb81eb6d0f01e143c7463a",1,7,0,9,224,80
"249","65eb81eb6d0f01e143c7463a",1,8,0,7,224,5
"250","65eb81eb6d0f01e143c7463a",1,9,0,13,221,50
"251","65eb81eb6d0f01e143c7463a",1,10,0,5,218,55
"252","65eb81eb6d0f01e143c7463a",1,11,0,12,179,37
"253","65eb81eb6d0f01e143c7463a",1,12,0,11,149,70
"254","65eb81eb6d0f01e143c7463a",1,13,0,6,179,50
"255","65eb81eb6d0f01e143c7463a",1,14,0,10,224,60
"256","65eb81eb6d0f01e143c7463a",1,15,0,3,73,13
"257","65eb81eb6d0f01e143c7463a",1,16,0,19,89,49
"258","65eb81eb6d0f01e143c7463a",1,17,0,4,120,87
"259","65eb81eb6d0f01e143c7463a",1,18,0,2,219,90
"260","65eb81eb6d0f01e143c7463a",1,19,0,18,221,30
"261","66cc80d93247b5e14b3b7112",2,0,0,14,89,23
"262","66cc80d93247b5e14b3b7112",2,1,0,8,177,12
"263","66cc80d93247b5e14b3b7112",2,2,0,7,224,77
"264","66cc80d93247b5e14b3b7112",2,3,0,13,221,54
"265","66cc80d93247b5e14b3b7112",2,4,0,9,224,77
"266","66cc80d93247b5e14b3b7112",2,5,0,1,89,66
"267","66cc80d93247b5e14b3b7112",2,6,0,16,149,54
"268","66cc80d93247b5e14b3b7112",2,7,0,15,224,35
"269","66cc80d93247b5e14b3b7112",2,8,0,17,179,64
"270","66cc80d93247b5e14b3b7112",2,9,0,0,149,54
"271","66cc80d93247b5e14b3b7112",2,10,0,19,89,68
"272","66cc80d93247b5e14b3b7112",2,11,0,3,73,11
"273","66cc80d93247b5e14b3b7112",2,12,0,2,219,76
